title,summary,date
外滙基金上季扭虧 勁賺1146億 股債滙投資齊報喜 展望今季正增長,外滙基金第三季度業績受多項利好因素帶動，季度投資收益1146億元，按年扭虧。美國和其他地區央行啟動減息，債息相應回落令債價回升，各地股市在第三季度表現亦向好，造就外滙基金各項投資類別在季內全數錄得正回報，為2023年第一季度以來首次。歸功環球減息 中港股市反彈金管局對未來表現的表述亦較以往樂觀，總裁余偉文昨日稱「盡量希望做到好成績」，副總裁李達志亦說「希望今季續保持正增長」。今年7月底公布外滙基金上半年表現時，余偉文曾稱，環球股市和資產估值已累積相當升幅，個別壞消息隨時令資產價格出現較大的波動和調整。回顧外滙基金第三季度表現，李達志指出，美債息在季內下跌，對該局持有的債價造成正面影響，而過去一年多各地央行加息後，則令債息收益增加；同時，9月內地和香港股市反彈，都利好外滙基金投資收益。由於美國聯儲局啟動減息，美元回落而非美貨幣回升，則帶動外滙變動損益在季內升81億元。余偉文提到，亞太區金融市場保持穩定，未受日圓套利交易平倉影響，內地新一輪政策措施有助鞏固經濟增長，股市氣氛改善，對經濟活動的正面作用將逐步浮現。第三季度，外滙基金繼續沿用投資組合收益的6年平均數，向財政儲備支付30億元，另向政府基金及法定組織支付38億元。余偉文：美大選或令市場波動首三季計，外滙基金累計進賬2247億元，以9月底止資產總值41339億元，投資回報率約5.4%，累計向財政儲備支付100億元，另向政府基金及法定組織支付122億元。9月底止，外滙基金累計盈餘按季增21.1%，至7825億元。展望後市，余偉文形容，第四季度有很多變數，宏觀環境方面，要觀察美國減息步伐會否有所改變。市場憧憬本周人大常委會會議將公布更多救市措施細則，余偉文認為，刺激措施是否能夠落地以至實際成效，都是一個變數，「將影響內地、香港以至亞洲股票表現」。同時，美國總統大選本周舉行，余偉文指出，選舉中間會否出現爭拗，對市場已經有大影響；投票完成後，對於競選人的政綱和其講話內容，市場反應亦會有很大變化。在美國大選有正式結果前，外滙基金將盡量提高防禦性，亦會保持靈活，希望可以機動調整部署。余偉文直言，美國經濟和政策前景存在不確定性，就業市場表現反覆，通脹有所回落，市場注視本周的美國大選，預期市場對各項經濟數據和政治風險高度敏感，呼籲投資者注意市場波動風險。另外，沙特阿拉伯公共投資基金（PIF）與金管局早前簽署諒解備忘錄，共同出資支持創設一項目標規模達10億美元（約78億港元）的新投資基金，推動和香港有聯繫的企業擴展業務至沙特。余偉文說，金管局和中東各央行一直緊密溝通，希望在金融基建及支付等方面能夠更加暢通，而中東在貿易及投資方面如能更多使用人民幣，香港作為離岸人民幣中心，將可提供相關流動性及投資出路。,
"51 best celebrity Halloween costumes of 2024: Hailey and Justin Bieber (and baby Jack!), Shania Twain, Eugenie Bouchard & more","Justin and Hailey Bieber (along with their son Jack), Eugenie Bouchard and Shania Twain were just some of the celebrities to rock some pretty impressive Halloween costumes this year.
Halloween may be over — but that didn't stop celebrities from rolling out some seriously epic Halloween costumes over the weekend.
We've gathered a list of some of the can't-miss Halloween costumes from some of our favourite stars who went all out for Halloween.
Hailey Bieber, Justin Bieber and baby JackThe Biebers took to Instagram to show off their adorable Kim Possible family costume.
(Photo via Instagram/kyliejenner)Shania TwainThere were tons of Shania Twain Halloween costumes — but Shania herself opted for something a bit different.",
"Bulls are showing positive signs, but what exactly is their plan?","Bulls are showing positive signs, but what exactly is their plan?
Chicago Bulls guard Zach LaVine has been playing good ball this season.
(AP Photo/Brandon Dill)After years of depressed sighs, and unheard calls from a fan base yearning for ingenuity, the Chicago Bulls have — surprisingly — answered the call to step into the 21st century and embraced the 3-point shot.
Coby White is taking 9.3 triples per game and four other Bulls are taking more than four.
But whatever the Bulls decide, history reminds us this is an organization that doesn't make things easy on anyone.",
Dick Van Dyke Endorses Kamala Harris; Entertainer Reads Message He Delivered At 1964 Martin Luther King Event,"Dick Van Dyke posted his endorsement of Kamala Harris for president today, marking the occasion by reading a speech he delivered at a 1964 civil rights event with Martin Luther King Jr.
At the end of the video, Van Dyke said, “1964.
Earlier this year, Van Dyke told The Hollywood Reporter that he was supporting Joe Biden’s reelection, before the president dropped out of the presidential race.
Van Dyke is among a handful of Hollywood figures to post videos recently on social media, weighing in on the election.
Richard Gere endorsed Harris in a video posted by Harris’ Pennsylvania campaign, and former California governor Arnold Schwarzenegger endorsed her in a statement he posted last week.",
"Jennifer Lopez Puts a Sexy Twist on Sweater Weather in $579 Gucci Micro Shorts and $4,300 Bejeweled Cardigan","Nothing says fall luxury more than a $5,000 wool lookTheStewartofNY/GC Images; Aeon/GC Images Jennifer Lopez steps out for ""Unstoppable"" screening in New York City on Nov. 3, 2024It’s hot-umn according to Jennifer Lopez.
On Nov. 3, the “Let’s Get Loud” singer was photographed in a caramel brown Gucci wool cardigan with a bedazzled neckline and matching micro shorts.
Gray versions of her buttoned sweater and shorts are available to shop for $4,300 and $579 on Mytheresa and Farfetch respectively.
Lopez also rocked warm fall hues with her glam, which consisted of a berry red lip and glittery mocha eyeshadow.
With autumn in full swing, the mom of two has been putting her own sexy spin on sweater weather dressing following her split from Ben Affleck this past August.",
Donald Trump's Nephew Recalls Grandpa's Dementia Symptoms as He Warns of Former President's 'Decline' (Exclusive),"""I see it in parallel with the way my grandfather's decline was,"" Fred Trump says of Donald's recent behavior.
But I see it in parallel with the way my grandfather's decline was,"" Fred, 61, tells PEOPLE of Donald, 78, who has at times downplayed his father's symptoms.
""If anyone wants to believe that dementia did not run in the Trump family, it's just not true.""
He also alleges that Donald's sister, Maryanne, seemed to exhibit signs of dementia before her death on Nov. 13, 2023.
""Because if he admitted that my grandfather had dementia, well, that's almost admitting that he has the possibility of having dementia.""",
Donny Osmond Reveals What He Thinks of Nephew Jared Osmond Appearing on “RHOSLC”: 'To Each His Own',"Donny Osmond Reveals What He Thinks of Nephew Jared Osmond Appearing on “RHOSLC”: 'To Each His Own'""I understand it's a little bit risqué, but to each his own,"" Donny Osmond said of Jared's appearance on 'Real Housewives of Salt Lake City'jared osmond/instagram Donny Osmond (left) and Jared Osmond (right)Donny Osmond is reacting to one of his family members making their debut in the Bravo universe.
In an interview with E!, the Donny & Marie star revealed what he really thinks about his nephew Jared Osmond appearing on The Real Housewives of Salt Lake City.
Viewers were introduced to Jared, who is the son of Virl Osmond, during the current fifth season when he was in an on-and-off-again relationship with newbie Britani Bateman.
Debra L Rothenberg/WireImage; Jared Osmond/instagram Donny Osmond (left) and Jared Osmond (right)Fans first learned that Donny and Jared were related when the women on the show pointed out their shared last name.
Related: RHOSLC: Lisa Barlow Throws a Glass and Accuses Whitney Rose of Being a 'Liar': 'I’ll Be Your Villain'On an Oct. 23 RHOSLC Aftershow following the shocking scene, Britani revealed details regarding the situation.",
"Stocks might 'go nowhere' for the rest of this year amid Fed uncertainty and US debt concerns, market vet says","Bloomberg Creative/Getty, Drew Angerer/Getty, Tyler Le/BIThe S&P 500 might be stuck in place for the rest of the year, Ed Yardeni says.
The market vet thinks no more Fed rate cuts are coming until 2025 as the economy stays strong.
The stock market could be bumping up against a ceiling for now, market veteran Ed Yardeni said.
Stocks have already been going ""nowhere fast"" since the Fed issued a jumbo-sized rate cut in September, Yardeni said.
The S&P 500 has climbed 2% since the Fed's last policy meeting, while the S&P 500 equal-weighted index has risen 3.8%.",
"Stocks might 'go nowhere' for the rest of this year amid Fed uncertainty and US debt concerns, market vet says","Bloomberg Creative/Getty, Drew Angerer/Getty, Tyler Le/BIThe S&P 500 might be stuck in place for the rest of the year, Ed Yardeni says.
The market vet thinks no more Fed rate cuts are coming until 2025 as the economy stays strong.
The stock market could be bumping up against a ceiling for now, market veteran Ed Yardeni said.
Stocks have already been going ""nowhere fast"" since the Fed issued a jumbo-sized rate cut in September, Yardeni said.
The S&P 500 has climbed 2% since the Fed's last policy meeting, while the S&P 500 equal-weighted index has risen 3.8%.",
"Stocks, dollar on tenterhooks with all eyes on US Election Day","The dollar, which had eased overnight as traders made final adjustments to positions, bought 152.35 yen and traded at $1.0875 per euro.
BRACEDChina is seen on the front line of tariff risk and the currency in particular is trading on tenterhooks with implied volatility against the dollar at record highs.
The Australian dollar held at $0.6590.
[AUD/]""Simply, if Harris wins, we like selling dollar/yen and buying AUDUSD,"" said currency strategists at Citi.
""If Trump wins, we like buying USD against EUR, SEK, and NOK.""",
